supplier_id,supplier_name,supplier_type,city,state,contact_person,phone,email,rating,lead_time_days,payment_terms_days,defect_rate_percent,on_time_delivery_percent
18,Mangal LLC Pvt Ltd,Importer,Hyderabad,Telangana,Anay Shetty,251960062,nidraravel@singh-sarna.com,3.7,3,45,3.97,96.8
19,Sundaram LLC Pvt Ltd,Manufacturer,Ahmedabad,Gujarat,Oliver Kari,4541304476,vincent09@venkataraman-bahri.com,3.1,11,15,0.48,90.65
20,Chauhan and Sons Pvt Ltd,Distributor,Bengaluru,Karnataka,Zaid Bail,3265508061,yshukla@sibal-karan.net,4.1,10,30,1.27,97.53
21,Krishnan Ltd Pvt Ltd,Distributor,Bhopal,Madhya Pradesh,Warjas Prakash,9000094851,hseshadri@kunda-oommen.com,4.3,8,45,2.03,91.21
22,Rege-Bhatti Pvt Ltd,Distributor,Bengaluru,Karnataka,Faqid Ram,7763594571,xkata@parmer.com,2.7,2,30,2.69,82.13
23,"Garg, Varughese and Dass Pvt Ltd",Manufacturer,Mumbai,Maharashtra,Sanya Wason,8231054180,swaminathanreyansh@bail.com,4.8,7,15,2.36,86.96
24,Dey Group Pvt Ltd,Distributor,Jaipur,Rajasthan,Krishna Choudhury,8554683178,turvirege@vyas-ramesh.biz,4.3,11,60,1.17,90.42
25,Wali-Shah Pvt Ltd,Manufacturer,Bhopal,Madhya Pradesh,Ekavir Nori,1561557303,zilmil32@sarma.com,2.7,8,45,1.96,90.31
26,Batta-Ghosh Pvt Ltd,Manufacturer,Nagpur,Maharashtra,Guneet Kapur,1873486118,wakeeta33@gulati-pandya.com,2.7,13,45,3.62,83.94
27,Lad LLC Pvt Ltd,Local Vendor,New Delhi,Delhi,Jhalak Walia,9191637652,vidhi85@dar-khanna.com,2.9,4,45,2.14,97.57
28,Ramanathan-Bala Pvt Ltd,Manufacturer,Mysuru,Karnataka,Warinder Ganesh,3927850560,tristan16@nigam.com,2.6,10,15,4.36,98.49
29,Nath-Gaba Pvt Ltd,Local Vendor,New Delhi,Delhi,George Sankaran,5830501586,vrinda47@subramanian.com,3.7,5,60,4.07,84.93
30,Sinha-Balakrishnan Pvt Ltd,Importer,Pune,Maharashtra,Sarthak Soni,2660647046,handanilima@varma.net,4.8,14,60,1.36,94.4
31,"Bhasin, Gupta and Sawhney Pvt Ltd",Distributor,Hyderabad,Telangana,Rudra Panchal,8788184032,quincy27@biswas-goswami.com,3,5,15,2.65,91.65
32,Bir-Dey Pvt Ltd,Manufacturer,Kolkata,West Bengal,Imaran Date,1512447715,siyaborra@gopal.info,4,10,30,0.35,91.04
33,Mohan Group Pvt Ltd,Manufacturer,Chennai,Tamil Nadu,Brinda Rama,840313514,hthakkar@palla.biz,4.2,5,60,0.63,97.85
34,Ghosh PLC Pvt Ltd,Manufacturer,New Delhi,Delhi,Jonathan Verma,5284514664,miyengar@rout.org,3.5,11,45,4.21,85.64
35,"Gola, Shankar and Sathe Pvt Ltd",Importer,Kolkata,West Bengal,Geetika Walia,6485297249,drandhawa@dalal.info,3.5,12,45,2.11,98.54
36,Kumar and Sons Pvt Ltd,Local Vendor,Bengaluru,Karnataka,Amol Sundaram,3611822911,sundaramnathan@pandit-palla.com,4.1,11,15,0.42,85.79
37,Peri PLC Pvt Ltd,Importer,Ahmedabad,Gujarat,Fariq Sankaran,9044519362,zilmilhayre@ahuja.info,4.7,5,45,1.35,89.8
38,"Jain, Pai and Kanda Pvt Ltd",Manufacturer,Hyderabad,Telangana,Ekansh Bhasin,3862205332,frado51@dugar.net,4.2,10,45,4.2,83.84
39,Bala PLC Pvt Ltd,Manufacturer,Coimbatore,Tamil Nadu,Varsha Mander,9187728982,praneel04@nadkarni.com,4.7,13,30,1.3,92.77
40,"Pandit, Kalita and Sahni Pvt Ltd",Importer,Kolkata,West Bengal,Aayush Pingle,6151096861,nidhi00@deo-narain.com,3.8,6,15,0.51,89.54
41,"Bandi, Gulati and Date Pvt Ltd",Manufacturer,Ahmedabad,Gujarat,Anirudh Varty,804859567,krishnananirudh@sheth-dube.com,3.3,4,45,0.81,89.86
42,Dara-Puri Pvt Ltd,Manufacturer,Bhopal,Madhya Pradesh,Mekhala Ravel,4496374885,amara23@master.com,2.7,13,30,2.5,96.86
43,"Basu, Master and Bedi Pvt Ltd",Local Vendor,Lucknow,Uttar Pradesh,Mohini Seshadri,5529953498,netra42@bahl.net,2.8,6,45,4.06,96.17
44,Shenoy and Sons Pvt Ltd,Distributor,Pune,Maharashtra,Ekbal Pandya,52303006,chaudharikrisha@raval.com,4.2,12,15,1.66,91.97
309,Kota-Nagar Pvt Ltd,Importer,Jaipur,Rajasthan,Wahab Seth,7437098490,zilmil18@ray-naik.com,3.4,14,60,1.71,98.59
45,Sunder Inc Pvt Ltd,Distributor,Bhopal,Madhya Pradesh,Chandresh Srivastava,3446754182,abhimanyusankaran@badami-borde.net,4.7,14,30,3.98,82.44
46,"Gera, Bhatia and Kalla Pvt Ltd",Distributor,Kolkata,West Bengal,Qabil Lala,5142791829,yuvraj81@ramaswamy.com,3.2,14,15,1.78,82.69
47,Kunda-Ganesh Pvt Ltd,Distributor,Jaipur,Rajasthan,Nachiket Varughese,9398055991,anayak@jani-prabhakar.com,4.5,9,45,1.44,96.16
48,Barad-Batta Pvt Ltd,Manufacturer,New Delhi,Delhi,Siya Deo,6476866660,adwetabalakrishnan@suresh-raj.net,4.2,8,45,1.33,83.24
49,Hayer Ltd Pvt Ltd,Local Vendor,Surat,Gujarat,Brijesh Bhatti,4538681566,zilmilbhargava@chandra.biz,4.2,10,45,4.23,84.05
50,Apte Ltd Pvt Ltd,Importer,Ahmedabad,Gujarat,Siddharth Wason,864617844,chakrika30@kurian.com,2.6,11,60,1.62,96
51,Shan-Sahota Pvt Ltd,Local Vendor,Bhopal,Madhya Pradesh,Sathvik Borra,7186164295,ekiyabrar@warrior.com,4.7,5,45,0.3,89.76
52,"Dayal, Sabharwal and Munshi Pvt Ltd",Importer,Hyderabad,Telangana,Kashish Arya,2414487645,zaitrasaran@lala.com,3.6,12,45,2.84,93.81
53,Samra Group Pvt Ltd,Importer,Mysuru,Karnataka,Lila Tara,2748975120,brijesh35@nagar.com,4.2,7,60,3.17,91.87
54,Narayanan LLC Pvt Ltd,Local Vendor,New Delhi,Delhi,Neel Brahmbhatt,8158738422,ekanichowdhury@iyengar.com,4.2,4,45,1.89,96.84
55,"Bhatti, Menon and Bhandari Pvt Ltd",Distributor,Surat,Gujarat,Rajata Karan,4408638670,pandyajanani@ravi.biz,3.6,11,45,2.15,89.87
56,"Varughese, Ganguly and Brar Pvt Ltd",Distributor,New Delhi,Delhi,Tanish Murty,2781570859,unnatipandit@vyas.org,4.1,6,45,0.51,98.95
57,Minhas Group Pvt Ltd,Distributor,New Delhi,Delhi,Nakul Gopal,4320647184,sneha85@patla.com,4.5,4,15,0.3,99.51
58,Bora-Karan Pvt Ltd,Local Vendor,Lucknow,Uttar Pradesh,Ganga Sur,5195044209,fredericktailor@jaggi.com,3.5,12,30,3.26,88.83
59,Ganesh-Mistry Pvt Ltd,Distributor,Bhopal,Madhya Pradesh,Agastya Morar,2407398370,lavanyagolla@dugar.com,4.1,2,15,3.53,85.9
60,Pandya-Palla Pvt Ltd,Manufacturer,Hyderabad,Telangana,Anika Master,9004583898,sawhneyzayyan@brahmbhatt.net,3.9,3,60,0.69,90.27
61,Dhar-Patel Pvt Ltd,Local Vendor,Hyderabad,Telangana,Wazir Thaman,8100899690,amolbahl@venkataraman.org,4,13,60,3.75,91.75
62,"Kadakia, Rege and Choudhry Pvt Ltd",Local Vendor,Coimbatore,Tamil Nadu,Nihal Nadkarni,1940041192,rhans@srivastava.info,3.1,5,45,3.47,91.28
63,"Viswanathan, Keer and Shan Pvt Ltd",Local Vendor,New Delhi,Delhi,Nathaniel Menon,1108019881,anmolnanda@keer.com,2.7,6,30,1.3,87.69
64,Jain LLC Pvt Ltd,Distributor,Hyderabad,Telangana,Rishi Lanka,2072954555,modychakradev@sabharwal.net,2.9,8,30,3.21,83.14
65,"Shukla, Sinha and Bandi Pvt Ltd",Local Vendor,Indore,Madhya Pradesh,Vedika Kanda,4633078105,unnatidua@rau.net,3.5,5,60,1.81,95.7
66,"Jayaraman, Mitter and Narayan Pvt Ltd",Local Vendor,Nagpur,Maharashtra,Faqid Nagar,7004095818,acharyagunbir@handa-wali.net,3.7,7,45,3.42,97.19
67,"Sachdev, Balay and Sachar Pvt Ltd",Local Vendor,Bhopal,Madhya Pradesh,Aadhya Sami,776519054,chandresh54@barad-bora.com,3,8,60,0.23,87.98
68,Divan LLC Pvt Ltd,Local Vendor,Bhopal,Madhya Pradesh,Baljiwan Khanna,8440760247,anmolshukla@varma.org,4.8,11,15,4.09,92.54
69,"Devan, Biswas and Nagy Pvt Ltd",Local Vendor,Mumbai,Maharashtra,Yasti Sant,1897388239,gunbir26@savant.info,2.8,9,30,0.32,88.75
70,Setty PLC Pvt Ltd,Importer,New Delhi,Delhi,Sudiksha Khanna,5092141840,naranggautami@varghese.com,3.3,8,45,3.41,96.81
71,"Ramanathan, Suri and Raghavan Pvt Ltd",Local Vendor,Ahmedabad,Gujarat,Nicholas Tiwari,5905832371,oliver58@bhatia-nori.com,2.5,10,15,4.5,88.23
72,Hari PLC Pvt Ltd,Manufacturer,Bengaluru,Karnataka,Sanya Purohit,8066317004,david96@goyal.org,4.9,5,15,2.83,86.25
73,"Puri, Mandal and Sama Pvt Ltd",Distributor,Jaipur,Rajasthan,Gabriel Kalla,3399370627,triya50@borra.info,3.7,6,45,0.84,92.81
74,Patel Inc Pvt Ltd,Importer,Bengaluru,Karnataka,Jagat Ravi,3463234112,tanmayikale@bawa.com,2.8,2,45,2.63,98.16
75,Walla-Deep Pvt Ltd,Distributor,Indore,Madhya Pradesh,Garima Chaudhuri,6747446699,bbajaj@narayan.com,2.7,13,30,0.55,95.75
76,Chander-Kar Pvt Ltd,Manufacturer,Lucknow,Uttar Pradesh,Adweta Ganguly,6883696843,hemanibhavsar@dutt.com,3.4,8,45,0.4,93.53
77,Das Ltd Pvt Ltd,Local Vendor,Pune,Maharashtra,Max Sathe,3370774159,avniyohannan@sule.biz,2.8,7,60,3.21,89.75
78,Subramaniam-Boase Pvt Ltd,Local Vendor,Hyderabad,Telangana,Isaiah Pant,3522193578,panchalfaqid@balay-handa.com,3.7,13,45,1.52,86.37
79,Krishnamurthy LLC Pvt Ltd,Local Vendor,Mysuru,Karnataka,Ekaja Warrior,1744925860,rudra93@sachdeva-gandhi.com,3.1,9,60,1.58,90.8
80,Sehgal Ltd Pvt Ltd,Local Vendor,Kolkata,West Bengal,Madhav De,6921222382,gauri99@subramaniam.com,3,14,45,1.6,97.67
81,Patil-Dhillon Pvt Ltd,Distributor,Ahmedabad,Gujarat,Anmol Ganguly,5128105207,ikala@bobal.com,2.7,13,60,2.25,95.5
82,Chakrabarti-Tella Pvt Ltd,Local Vendor,Jaipur,Rajasthan,Ryan Anne,7765344876,urvashi59@dora-wason.com,4.5,3,45,1.08,94.31
83,Varughese and Sons Pvt Ltd,Local Vendor,Surat,Gujarat,Turvi Sagar,2699738301,harishgour@loke-krish.com,3.9,7,60,4.49,91.8
84,Kaur-Naik Pvt Ltd,Importer,Kolkata,West Bengal,Henry Bakshi,5389318065,nidhi77@talwar-setty.com,3.3,5,15,3.27,87.62
85,Dhar Inc Pvt Ltd,Distributor,Hyderabad,Telangana,Vansha Lala,3635297263,orinderkala@manne-reddy.net,3,9,45,3.29,99.38
86,"Mallick, Naidu and Tailor Pvt Ltd",Manufacturer,Hyderabad,Telangana,Sanya Dave,4948447059,bassiradha@dora.biz,4.6,6,30,1.69,87.38
87,"Narain, Vala and Oak Pvt Ltd",Importer,Hyderabad,Telangana,Theodore Vasa,2662640353,ewali@mani.biz,2.6,2,45,3.17,84.25
88,Balakrishnan-Bawa Pvt Ltd,Manufacturer,Jaipur,Rajasthan,Gayathri Thakur,4035264042,madhavisrinivasan@mannan.com,3.9,9,60,2.04,85.28
89,Mitra Inc Pvt Ltd,Local Vendor,Pune,Maharashtra,Shivansh Tailor,8247577049,widishadora@loke.com,2.8,3,60,2.26,92.27
90,Gola-Dave Pvt Ltd,Distributor,Mumbai,Maharashtra,Darsh Kuruvilla,4540013973,ekbal42@chandra.biz,4.5,6,15,4.47,84.11
91,Shroff Ltd Pvt Ltd,Local Vendor,Bhopal,Madhya Pradesh,Udant Kaul,7137462047,vansha57@chander.org,3.6,9,45,3.88,99.62
92,Sinha Inc Pvt Ltd,Manufacturer,Ahmedabad,Gujarat,Rajeshri Sahni,9722239555,advaith72@sahota.com,4.9,5,30,1.26,83.45
93,Ghose Ltd Pvt Ltd,Manufacturer,New Delhi,Delhi,Aayush Suri,5017412407,groveryahvi@dutt-khatri.com,2.9,8,60,3.13,90.36
94,Vaidya Group Pvt Ltd,Importer,Mumbai,Maharashtra,Chakradhar Boase,2795019353,anusha95@talwar.com,4.3,13,60,0.41,86.15
95,"Sarkar, Pau and Mohan Pvt Ltd",Local Vendor,Ahmedabad,Gujarat,Ekani Chowdhury,3730496914,patrickbanerjee@anne-sandhu.com,2.8,5,30,4.1,96.71
96,Bhatnagar-Shanker Pvt Ltd,Distributor,Bengaluru,Karnataka,Radha Dave,147651580,travi@doshi-manda.com,4.5,11,45,2.03,90.34
97,"Loke, Goda and Apte Pvt Ltd",Importer,Surat,Gujarat,Ekiya Batta,8121912085,wbains@nadkarni.com,3.8,9,60,0.45,82.71
98,Parmer Ltd Pvt Ltd,Importer,Indore,Madhya Pradesh,Keya Sinha,5062423745,brijesh74@savant-dhingra.org,2.6,5,15,4.5,93.97
99,Gola-Mander Pvt Ltd,Distributor,Ahmedabad,Gujarat,Bishakha Ramanathan,1918384370,aarnavsalvi@modi-krishna.biz,3.7,12,60,4.13,85.23
100,Sant-Natarajan Pvt Ltd,Local Vendor,Noida,Uttar Pradesh,Balendra Ghose,2594625915,gsane@hora-balasubramanian.com,4.9,9,45,1.9,87.71
101,"Baral, Pingle and Badami Pvt Ltd",Importer,Bengaluru,Karnataka,Isha Chada,7339763307,azadrajan@divan-karpe.info,3.5,9,45,3.02,89.13
102,Mohanty-Nadkarni Pvt Ltd,Local Vendor,Hyderabad,Telangana,Qabil Jani,6317834525,chadhaliam@parekh.net,2.7,6,45,0.61,95.75
103,Shanker-Rout Pvt Ltd,Local Vendor,Hyderabad,Telangana,Chaitaly Kapoor,7654825342,dasguptadaniel@sarin-palla.biz,3.5,5,45,2.84,90.87
104,Mall-Lad Pvt Ltd,Distributor,Jaipur,Rajasthan,Yashoda Saha,7937689956,vincent65@divan.com,3.2,4,45,2.03,94.43
105,Gill LLC Pvt Ltd,Distributor,Bengaluru,Karnataka,Ojasvi Tak,6893678493,nadigikshita@pingle-parsa.com,4.3,6,15,2.53,83.66
106,Joshi Ltd Pvt Ltd,Manufacturer,Mysuru,Karnataka,Andrew Sibal,1389883486,zbali@sawhney-sridhar.com,4.1,4,60,4.2,87.2
107,Vig-Badal Pvt Ltd,Local Vendor,Surat,Gujarat,Devansh Taneja,406078799,mishraanmol@datta.info,5,5,60,2.53,88.83
108,Gour Ltd Pvt Ltd,Manufacturer,Lucknow,Uttar Pradesh,Nidra Kulkarni,3760964418,omisha89@gokhale-chakraborty.info,3.2,14,60,1.6,96.02
109,Mammen and Sons Pvt Ltd,Importer,Ahmedabad,Gujarat,Xalak Mahal,693849883,opai@deo.net,4.3,11,60,3.91,89.95
110,Raju Inc Pvt Ltd,Importer,Jaipur,Rajasthan,Falguni Bora,2263962924,mistrychanakya@narasimhan-sangha.org,3.9,10,60,2.1,87.73
111,Keer-Dhar Pvt Ltd,Local Vendor,New Delhi,Delhi,Kiaan Gopal,2284686692,radhika76@mallick.com,3.1,14,60,0.29,95.26
112,Sachdeva PLC Pvt Ltd,Distributor,Indore,Madhya Pradesh,Garima Date,8564535028,indalirout@bose-sastry.com,3.7,2,30,2.31,92.51
113,Sethi PLC Pvt Ltd,Manufacturer,Mysuru,Karnataka,Yoshita Shan,6266276747,bina04@manne.com,3.8,9,15,3.28,89.3
114,Chakraborty-Bedi Pvt Ltd,Local Vendor,Chennai,Tamil Nadu,Veda Biswas,7735319156,gaurang18@bakshi.com,4.5,6,45,2.84,89.08
115,Sachdev Ltd Pvt Ltd,Local Vendor,Mysuru,Karnataka,Daksh Bassi,5403009089,uamble@srivastava.info,4.9,12,60,3.94,82.64
116,"Dasgupta, Palan and Wagle Pvt Ltd",Importer,Bengaluru,Karnataka,Udyati Arya,9801320122,krishqabil@grover.com,5,13,15,2.01,83.75
117,"Gopal, Ramakrishnan and Wagle Pvt Ltd",Distributor,Mysuru,Karnataka,Tanvi Joshi,2155096402,aarav65@dhawan-pingle.net,4.2,2,15,1.53,83
118,"Thakkar, Mann and Guha Pvt Ltd",Local Vendor,Kolkata,West Bengal,Noah Balan,8136010693,devikeya@narasimhan.info,2.9,10,60,2.59,96.11
119,"Pau, Mani and Seshadri Pvt Ltd",Manufacturer,Chennai,Tamil Nadu,Vritti Sinha,5753479927,mannanyashawini@rout.com,4,8,30,2.29,92.38
120,Bhardwaj-Pal Pvt Ltd,Importer,New Delhi,Delhi,Gautam Kara,8464226548,yahvikale@baral.biz,3.6,12,15,4.06,90.28
121,Som Group Pvt Ltd,Manufacturer,Ahmedabad,Gujarat,Radha Rau,1921448985,sankaranisaac@naidu.biz,3.6,7,45,2.91,89.55
122,"More, Hayre and Dua Pvt Ltd",Importer,Surat,Gujarat,Amruta Thaker,2423447645,michaelkalla@basu.com,3,8,60,0.57,88.79
123,Sarkar Ltd Pvt Ltd,Importer,Kolkata,West Bengal,Isaiah Ram,6645362698,basuchatura@vora.com,2.6,12,60,1.31,92.07
124,"Kala, Lala and Chahal Pvt Ltd",Local Vendor,Nagpur,Maharashtra,Reva Sekhon,3316079151,bhanumatioak@krishnan.net,4.6,6,30,2.77,88.27
125,Deshmukh PLC Pvt Ltd,Distributor,New Delhi,Delhi,Sachi Sarna,8826514038,ekalinga67@soni.info,4.1,12,15,1.46,89.85
126,Ravel LLC Pvt Ltd,Distributor,Noida,Uttar Pradesh,Bahadurjit Srinivas,3263658578,qabilminhas@balasubramanian.com,2.7,6,45,3.39,85.13
127,Kumar-Hora Pvt Ltd,Importer,Coimbatore,Tamil Nadu,Amruta Viswanathan,3652332747,finn46@kaul.com,4.6,6,60,4.36,87.25
128,Vora Inc Pvt Ltd,Local Vendor,Kolkata,West Bengal,Deepa Sanghvi,6811589008,ethan53@shah-rastogi.com,4.9,4,30,3.88,94.89
129,"Master, Varma and Parmer Pvt Ltd",Manufacturer,Indore,Madhya Pradesh,Adweta Subramanian,6173303586,adwetavenkataraman@dugar-saha.com,4.5,2,45,2.46,90.1
130,"Mittal, Dua and Iyer Pvt Ltd",Importer,Surat,Gujarat,Faqid Iyer,2100522839,jaggarwal@shukla-deshpande.info,2.8,5,60,0.21,97.74
131,"Dutta, Narain and Dayal Pvt Ltd",Distributor,Hyderabad,Telangana,Rachita Patel,9168872002,gaurang10@merchant-master.net,4.1,12,60,4.1,87.38
132,Kala Ltd Pvt Ltd,Distributor,Bhopal,Madhya Pradesh,Gauri Dasgupta,8125391453,suhani74@ben-vyas.com,2.6,2,45,4.48,84.07
133,Yadav-Buch Pvt Ltd,Local Vendor,New Delhi,Delhi,David Madan,8929271423,chaudhurikalpit@deshmukh.com,3.6,12,60,2.68,94.93
134,Sahni-Chaudhary Pvt Ltd,Local Vendor,Bhopal,Madhya Pradesh,Bhavani Ray,6019829408,omnagy@mody-bala.com,4,6,15,3.14,85.87
135,Kalla-Basu Pvt Ltd,Importer,Jaipur,Rajasthan,Chatresh Bose,5773246031,bhallabalendra@bahl-taneja.info,2.7,12,45,2.5,99.41
136,More-Bhatti Pvt Ltd,Local Vendor,Kolkata,West Bengal,Balveer Contractor,8531504577,zilmildesai@sanghvi-anne.org,3.2,3,60,0.5,85.78
137,"Subramaniam, Grewal and Suresh Pvt Ltd",Manufacturer,Lucknow,Uttar Pradesh,Gaurang Oommen,1427327004,diya78@sood-rajagopalan.com,4.5,5,30,3.56,85.65
138,Thaker and Sons Pvt Ltd,Distributor,Hyderabad,Telangana,Faqid Ghosh,9447605127,ekanshgara@pal.com,4.5,5,45,3.51,96.04
139,"Grover, Madan and Mall Pvt Ltd",Importer,Lucknow,Uttar Pradesh,Ekalinga Dhar,2924595178,ozayash@gupta.net,4.6,4,30,2.48,96.21
140,Apte-Maharaj Pvt Ltd,Distributor,Bengaluru,Karnataka,Tanish Jaggi,9418521904,pratyushpanchal@bir.info,2.5,14,30,2.69,82.28
141,"Sha, Mittal and Borra Pvt Ltd",Distributor,Ahmedabad,Gujarat,Upadhriti Chandran,9205010386,csavant@goel.com,4.4,10,15,3.38,90.48
142,"Boase, Raval and Sangha Pvt Ltd",Local Vendor,Kolkata,West Bengal,Maya Kurian,9174741579,randhawaaditya@anand.biz,3.8,11,15,3.3,98.18
143,Sundaram PLC Pvt Ltd,Local Vendor,Hyderabad,Telangana,Ekta Batta,5989445282,ati61@gandhi.biz,4.1,2,15,4.49,97.08
144,"Bhatnagar, Goswami and Chander Pvt Ltd",Local Vendor,Bhopal,Madhya Pradesh,Varenya Nagar,510528277,fradochander@parekh.com,4.3,9,15,4.06,87.73
145,"Date, Cheema and Kaul Pvt Ltd",Distributor,Chennai,Tamil Nadu,Aadhya Lad,7968878080,iyerkrisha@reddy.com,3.2,12,45,1.78,92.63
146,Pradhan and Sons Pvt Ltd,Local Vendor,Surat,Gujarat,Naveen Ganesan,8635255253,tripti72@balakrishnan-hayre.com,2.7,13,15,3.85,93.59
147,Sem Group Pvt Ltd,Local Vendor,Hyderabad,Telangana,Ekani Nair,3348979498,bajwadayita@devan.biz,3.6,5,60,1.59,90.07
148,Hari-Viswanathan Pvt Ltd,Importer,Bhopal,Madhya Pradesh,Brijesh Tara,7253733286,chandran48@gara-korpal.com,3.6,12,45,1.75,84.72
149,Loke PLC Pvt Ltd,Manufacturer,Jaipur,Rajasthan,Jeet Borde,5686315889,sbuch@kadakia.com,4.6,3,60,0.52,95.15
150,Shetty and Sons Pvt Ltd,Importer,Chennai,Tamil Nadu,Ryan Vyas,6530120053,ansh33@rege.com,4.2,8,45,3.94,98.75
151,"Mitter, Dugal and Dhillon Pvt Ltd",Importer,Bhopal,Madhya Pradesh,Daksha Doctor,609640626,rachit42@mammen.com,4,7,15,2.64,85.79
152,"Pillai, Dutt and Padmanabhan Pvt Ltd",Manufacturer,Jaipur,Rajasthan,Gagan Mallick,9811062603,forum84@kade-anand.com,3.4,10,45,0.61,86.96
153,Pant PLC Pvt Ltd,Manufacturer,New Delhi,Delhi,Ethan Gole,4946027231,ttak@varkey.net,4,12,45,0.23,86.86
154,Sekhon-Sinha Pvt Ltd,Importer,Surat,Gujarat,Raghav Chadha,5699721759,basakpraneel@choudhary.com,2.5,4,60,0.41,95.19
155,Menon-Bhasin Pvt Ltd,Distributor,Mumbai,Maharashtra,Sneha Loke,6173865821,wableyoshita@tiwari.com,3.4,9,45,0.79,87.55
156,Nayak-Babu Pvt Ltd,Manufacturer,Kolkata,West Bengal,Fitan Dutta,3548083685,parikhpatrick@raval-sachdev.com,2.9,14,15,3.07,86.84
157,"Nagy, Sachdev and Ganesan Pvt Ltd",Local Vendor,Indore,Madhya Pradesh,Jeet Mitter,3783808573,hritik36@gola-hora.com,3.5,5,15,1.62,83.97
158,Sane-Nath Pvt Ltd,Importer,Noida,Uttar Pradesh,Chakradhar Banik,7379286990,ojasvikhatri@chadha-mammen.net,2.6,8,15,0.13,87.37
159,"Parmer, Gulati and Mukhopadhyay Pvt Ltd",Importer,New Delhi,Delhi,Ishaan Issac,6680220507,hamsini18@rana-brar.com,3.2,3,15,2.29,89.67
160,Dhar-Mani Pvt Ltd,Distributor,Coimbatore,Tamil Nadu,Onkar Wason,7795190194,lakshmi19@mangat.net,3.8,12,45,0.42,97.34
161,"Garde, Mander and Shankar Pvt Ltd",Manufacturer,Pune,Maharashtra,Aashi Shukla,4953040651,ranveer93@kohli.com,3.6,3,45,2.63,92.21
162,"Hora, Wable and Sagar Pvt Ltd",Manufacturer,Indore,Madhya Pradesh,Azad Dugar,7802650011,anvipandey@kala.info,3.5,7,30,3.63,93
163,Munshi Ltd Pvt Ltd,Local Vendor,Kolkata,West Bengal,Qushi Chakrabarti,9619436625,lrau@nazareth.com,4.6,5,60,2.69,91.33
164,Badal Ltd Pvt Ltd,Importer,Indore,Madhya Pradesh,Wridesh Khatri,5225915388,bedialexander@sheth.com,3.1,14,30,0.44,93.27
165,Mann-Ghose Pvt Ltd,Importer,Hyderabad,Telangana,Reyansh Sandhu,6680675434,ukhalsa@divan-kulkarni.org,3.4,12,30,1.14,84.61
166,Bedi-Zacharia Pvt Ltd,Distributor,New Delhi,Delhi,Aashi Wable,5001872355,baghyawati95@munshi-hayer.biz,4.4,12,15,0.88,95.76
